anio,mes,ElAtazar,ElVado,ElVillar,LaAcena,LaJorosa,LaPinilla,LosMorales,Navacerrada,Navalmedio,Pedrezuela,PuentesViejas,Riosequillo,Santillana,Valmayor,fecha,total
2001,1,329.746,48.188,20.486,23.625,6.078,30.176,1.713,9.161,0.186,35.033,41.234,41.897,80.418,114.292,2001-01-01,782.2330000000001
2001,2,338.824,44.14,19.667,23.763,5.65,30.37,2.375,8.803,0.352,35.033,42.382,40.994,80.134,113.086,2001-02-01,785.573
2001,3,361.541,47.388,18.793,23.795,6.089,32.601,2.385,9.153,0.304,36.841,45.094,45.934,84.272,112.662,2001-03-01,826.8520000000001
2001,4,385.338,47.857,19.73,23.742,5.37,32.682,2.371,9.013,0.359,34.81,45.145,43.895,82.426,104.253,2001-04-01,836.9910000000002
2001,5,408.006,37.695,17.324,23.721,4.97,32.968,2.361,8.181,0.488,29.629,40.159,40.743,80.893,94.313,2001-05-01,821.4510000000001
2001,6,417.312,24.054,13.238,23.488,2.961,32.276,2.266,6.131,0.358,18.248,27.943,39.532,74.299,82.154,2001-06-01,764.26
2001,7,410.084,9.274,11.836,17.716,5.736,29.865,2.09,3.908,0.304,11.871,26.665,34.134,66.287,70.247,2001-07-01,700.0169999999999
2001,8,380.378,8.662,12.311,15.242,5.187,26.684,1.889,2.45,0.225,11.662,27.116,28.661,59.379,59.608,2001-08-01,639.4539999999998
2001,9,349.924,8.262,14.255,14.979,3.562,23.81,1.75,1.906,0.215,11.53,26.68,25.069,53.24,50.105,2001-09-01,585.2869999999999
2001,10,321.175,9.933,18.182,15.005,3.024,18.985,1.755,2.112,0.346,12.132,28.382,26.598,52.555,46.8,2001-10-01,556.984
2001,11,293.672,10.649,18.364,14.988,2.398,18.139,1.658,2.276,0.335,11.574,28.235,26.896,46.683,49.386,2001-11-01,525.253
2001,12,277.737,9.498,18.608,15.014,1.502,17.569,1.584,2.417,0.276,11.006,27.543,25.545,38.404,48.899,2001-12-01,495.60200000000003
2002,1,265.631,10.373,17.324,14.71,2.985,19.553,1.595,2.992,0.267,10.749,28.927,26.4,35.899,50.831,2002-01-01,488.236
